celebrity,original_image,yolo_bounding_box,face_extracted,prediction_time
pins_Zac-Efron,Zac-Efron83_1771-,Zac-Efron83_1771-person-nn-bb-0.0-0.4017568826675415-172.10678100585938-184.0,0,4.456952095031738
pins_Zac-Efron,Zac-Efron95_1783-,Zac-Efron95_1783-person-nn-bb-9.788505554199219-0.016063451766967773-145.79112243652344-154.0,1,4.556617021560669
pins_Zac-Efron,Zac-Efron21_1695-,Zac-Efron21_1695-person-nn-bb-0.0-0.21086926758289337-365.0-387.0,0,4.3749494552612305
pins_Zac-Efron,Zac-Efron43_1738-,Zac-Efron43_1738-person-nn-bb-0.0-0.3513294458389282-173.62161254882812-184.0,0,4.292422294616699
pins_Zac-Efron,Zac-Efron159_1651-,Zac-Efron159_1651-person-nn-bb-47.5657958984375-0.0-302.0-316.63360595703125,1,4.962200880050659
pins_Zac-Efron,Zac-Efron106_1608-,Zac-Efron106_1608-person-nn-bb-13.598429679870605-0.133156880736351-101.36345672607422-107.28312683105469,0,5.056272268295288
pins_Zac-Efron,Zac-Efron141_1636-,Zac-Efron141_1636-person-nn-bb-0.0-0.11222076416015625-299.4589538574219-315.0286865234375,0,4.491062641143799
pins_Zac-Efron,Zac-Efron167_1657-,Zac-Efron167_1657-person-nn-bb-3.068957567214966-0.013104247860610485-118.009033203125-127.57426452636719,1,4.515958070755005
pins_Zac-Efron,Zac-Efron3_1729-,Zac-Efron3_1729-person-nn-bb-5.886041164398193-0.71173095703125-122.0-128.0,0,4.457442283630371
pins_Zac-Efron,Zac-Efron48_1743-,Zac-Efron48_1743-person-nn-bb-0.0-0.0-249.25778198242188-264.08538818359375,1,4.3128509521484375
pins_Zac-Efron,Zac-Efron147_1640-,Zac-Efron147_1640-person-nn-bb-0.0-0.6618454456329346-209.0-219.92855834960938,1,4.32358193397522
pins_Zac-Efron,Zac-Efron46_1741-,Zac-Efron46_1741-person-nn-bb-0.4901916980743408-0.007505536079406738-143.7624053955078-154.48495483398438,0,4.31572151184082
pins_Zac-Efron,Zac-Efron150_1643-,Zac-Efron150_1643-person-nn-bb-0.0-0.27926433086395264-145.84957885742188-152.91049194335938,0,4.261148452758789
pins_Zac-Efron,Zac-Efron20_1688-,Zac-Efron20_1688-person-nn-bb-0.0-0.0-325.7012634277344-385.7611389160156,0,4.957820177078247
pins_Zac-Efron,Zac-Efron6_1752-,Zac-Efron6_1752-person-nn-bb-0.0-0.9910413026809692-364.80206298828125-387.0,0,4.30597710609436
pins_Zac-Efron,Zac-Efron29_1728-,Zac-Efron29_1728-person-nn-bb-4.19061279296875-0.11759466677904129-212.0-220.16864013671875,1,4.289144277572632
pins_Zac-Efron,Zac-Efron32_1731-,Zac-Efron32_1731-person-nn-bb-0.253692626953125-0.0-106.6229476928711-128.0,0,4.914351940155029
pins_Zac-Efron,Zac-Efron25_1724-,Zac-Efron25_1724-person-nn-bb-0.0-0.0-145.56643676757812-155.0,0,4.285403490066528
pins_Zac-Efron,Zac-Efron134_1629-,Zac-Efron134_1629-person-nn-bb-0.0-1.436000108718872-146.0-154.4784393310547,0,4.225176572799683
pins_Zac-Efron,Zac-Efron66_1757-,Zac-Efron66_1757-person-nn-bb-5.130618572235107-0.14118953049182892-294.6378173828125-290.53582763671875,1,4.077856779098511
pins_Zac-Efron,Zac-Efron77_1765-,Zac-Efron77_1765-person-nn-bb-0.0-0.0-328.2177429199219-458.5119323730469,0,5.7562806606292725
pins_Zac-Efron,Zac-Efron93_1781-,Zac-Efron93_1781-person-nn-bb-0.0-0.0-184.68515014648438-219.42762756347656,0,4.7828240394592285
pins_Zac-Efron,Zac-Efron80_1768-,Zac-Efron80_1768-person-nn-bb-24.515432357788086-0.0-250.6072998046875-262.9892883300781,0,4.691976308822632
pins_Zac-Efron,Zac-Efron85_1773-,Zac-Efron85_1773-person-nn-bb-0.16890449821949005-0.07714805752038956-139.83294677734375-184.0,0,5.41839599609375
pins_Zac-Efron,Zac-Efron220_1704-,Zac-Efron220_1704-person-nn-bb-0.0-0.0-173.60585021972656-184.0,1,4.263438940048218
pins_Zac-Efron,Zac-Efron58_1750-,Zac-Efron58_1750-person-nn-bb-9.320257186889648-0.0-145.0-154.2147979736328,0,4.649184465408325
pins_Zac-Efron,Zac-Efron179_1668-,Zac-Efron179_1668-person-nn-bb-0.0-0.06975150108337402-170.6212158203125-185.0,0,4.583015441894531
pins_Zac-Efron,Zac-Efron199_1681-,Zac-Efron199_1681-person-nn-bb-6.316491603851318-0.2463606894016266-99.89252471923828-108.0,0,4.696687936782837
pins_Zac-Efron,Zac-Efron100_1599-,Zac-Efron100_1599-person-nn-bb-53.03932189941406-0.0-249.9463653564453-262.3229675292969,0,5.4128429889678955
pins_Zac-Efron,Zac-Efron26_1725-,Zac-Efron26_1725-person-nn-bb-0.05917024984955788-0.0-251.0-266.0,0,4.338744640350342
pins_Zac-Efron,Zac-Efron120_1620-,Zac-Efron120_1620-person-nn-bb-0.0-0.0-102.0-107.4426040649414,0,4.277485609054565
pins_Zac-Efron,Zac-Efron65_1756-,Zac-Efron65_1756-person-nn-bb-0.0-0.0-211.1488800048828-224.54281616210938,0,4.7188520431518555
pins_Zac-Efron,Zac-Efron104_1602-,Zac-Efron104_1602-person-nn-bb-0.7478443384170532-0.11294832080602646-120.77896881103516-128.86932373046875,1,4.661170959472656
pins_Zac-Efron,Zac-Efron1_1597-,Zac-Efron1_1597-person-nn-bb-0.0-0.042516328394412994-250.53030395507812-266.0,0,4.338459491729736
pins_Zac-Efron,Zac-Efron40_1736-,Zac-Efron40_1736-person-nn-bb-2.2757017612457275-0.0-250.16476440429688-266.0,0,4.357741355895996
pins_Zac-Efron,Zac-Efron74_1764-,Zac-Efron74_1764-person-nn-bb-17.5106143951416-0.0-209.0-218.1657257080078,0,4.668147087097168
pins_Zac-Efron,Zac-Efron112_1613-,Zac-Efron112_1613-person-nn-bb-0.32575321197509766-0.23302002251148224-97.0063705444336-107.10568237304688,0,4.569524049758911
pins_Zac-Efron,Zac-Efron139_1633-,Zac-Efron139_1633-person-nn-bb-0.0-0.0-252.0188446044922-266.0,1,4.309217691421509
pins_Zac-Efron,Zac-Efron57_1749-,Zac-Efron57_1749-person-nn-bb-18.46258544921875-0.520599365234375-300.9054870605469-319.50860595703125,0,4.67020583152771
pins_Zac-Efron,Zac-Efron24_1717-,Zac-Efron24_1717-person-nn-bb-0.0-0.5230857133865356-361.9620056152344-387.0,1,4.528712511062622
pins_Zac-Efron,Zac-Efron232_1712-,Zac-Efron232_1712-person-nn-bb-22.14383888244629-0.0-122.0-126.7528305053711,0,5.244094371795654
pins_Zac-Efron,Zac-Efron87_1775-,Zac-Efron87_1775-person-nn-bb-0.0-0.07733917236328125-108.92888641357422-154.7405242919922,0,5.817680597305298
pins_Zac-Efron,Zac-Efron210_1696-,Zac-Efron210_1696-person-nn-bb-41.29322814941406-0.2908840775489807-363.14990234375-385.4036865234375,0,4.889596462249756
pins_Zac-Efron,Zac-Efron188_1674-,Zac-Efron188_1674-person-nn-bb-0.0-0.0-255.0-265.2248229980469,1,4.227640151977539
pins_Zac-Efron,Zac-Efron173_1663-,Zac-Efron173_1663-person-nn-bb-3.0234932899475098-0.0-208.36619567871094-223.75936889648438,0,4.500117778778076
pins_Zac-Efron,Zac-Efron152_1645-,Zac-Efron152_1645-person-nn-bb-0.0-0.10069286823272705-174.14527893066406-184.57749938964844,0,4.3693931102752686
pins_Zac-Efron,Zac-Efron107_1609-,Zac-Efron107_1609-person-nn-bb-4.412915229797363-0.0-145.42356872558594-152.9282989501953,0,4.420779466629028
pins_Zac-Efron,Zac-Efron211_1697-,Zac-Efron211_1697-person-nn-bb-0.0-0.0-96.96943664550781-106.54025268554688,0,4.510470628738403
pins_Zac-Efron,Zac-Efron106_1608-,Zac-Efron106_1608-person-nn-bb-4.194519519805908-88.71000671386719-25.009681701660156-107.9173583984375,0,0.0
pins_Zac-Efron,Zac-Efron228_1709-,Zac-Efron228_1709-person-nn-bb-0.725512683391571-0.3279357850551605-118.27197265625-127.66181945800781,1,4.43943452835083
pins_Zac-Efron,Zac-Efron168_1658-,Zac-Efron168_1658-person-nn-bb-6.911005020141602-0.0-101.4458999633789-106.55567932128906,0,4.756690502166748
pins_Zac-Efron,Zac-Efron3_1729-,Zac-Efron3_1729-person-nn-bb-12.179412841796875-0.068084716796875-121.6814956665039-123.00740051269531,0,4.535287618637085
pins_Zac-Efron,Zac-Efron199_1683-,Zac-Efron199_1683-person-nn-bb-1.5126371383666992-0.8831411600112915-100.37324523925781-108.0,0,4.441467046737671
pins_Zac-Efron,Zac-Efron50_1746-,Zac-Efron50_1746-person-nn-bb-0.0-0.0-361.8937072753906-387.0,0,4.854359865188599
pins_Zac-Efron,Zac-Efron97_1785-,Zac-Efron97_1785-person-nn-bb-7.297243118286133-1.295626163482666-527.0-549.2207641601562,1,4.486366033554077
pins_Zac-Efron,Zac-Efron118_1617-,Zac-Efron118_1617-person-nn-bb-55.84843063354492-1.3239295482635498-250.3963623046875-262.28851318359375,0,5.448121786117554
pins_Zac-Efron,Zac-Efron54_1747-,Zac-Efron54_1747-person-nn-bb-0.0-0.0-144.02166748046875-155.0,0,4.366636037826538
pins_Zac-Efron,Zac-Efron14_1634-,Zac-Efron14_1634-person-nn-bb-0.0-0.0-289.45501708984375-318.28997802734375,1,4.805143356323242
pins_Zac-Efron,Zac-Efron170_1661-,Zac-Efron170_1661-person-nn-bb-0.39932355284690857-0.21680517494678497-121.0-129.0,1,4.656142473220825
pins_Zac-Efron,Zac-Efron221_1705-,Zac-Efron221_1705-person-nn-bb-0.0-0.07036900520324707-175.0-183.4036102294922,1,4.237542390823364
pins_Zac-Efron,Zac-Efron131_1627-,Zac-Efron131_1627-person-nn-bb-0.0-0.054102182388305664-172.642822265625-184.53390502929688,1,4.396554946899414
pins_Zac-Efron,Zac-Efron225_1707-,Zac-Efron225_1707-person-nn-bb-18.629480361938477-0.26506978273391724-173.38685607910156-182.95327758789062,1,4.866284608840942
pins_Zac-Efron,Zac-Efron171_1662-,Zac-Efron171_1662-person-nn-bb-0.0-0.0-250.46401977539062-266.0,0,4.3754236698150635
pins_Zac-Efron,Zac-Efron176_1665-,Zac-Efron176_1665-person-nn-bb-8.779326438903809-0.18512649834156036-102.0-108.0,0,4.754621505737305
pins_Zac-Efron,Zac-Efron27_1726-,Zac-Efron27_1726-person-nn-bb-0.0-0.29409199953079224-101.6298828125-107.11775207519531,0,4.496957302093506
pins_Zac-Efron,Zac-Efron2_1687-,Zac-Efron2_1687-person-nn-bb-0.0-0.03581290319561958-249.918212890625-265.6322937011719,1,4.3185882568359375
pins_Zac-Efron,Zac-Efron239_1716-,Zac-Efron239_1716-person-nn-bb-0.5656431317329407-0.2787117063999176-201.12876892089844-220.0923309326172,1,5.354143381118774
pins_Zac-Efron,Zac-Efron163_1655-,Zac-Efron163_1655-person-nn-bb-0.0-0.09550249576568604-139.39344787597656-154.00198364257812,1,4.786653518676758
pins_Zac-Efron,Zac-Efron169_1659-,Zac-Efron169_1659-person-nn-bb-3.1315195560455322-0.0068662166595458984-128.70152282714844-155.0,1,5.162918567657471
pins_Zac-Efron,Zac-Efron232_1712-,Zac-Efron232_1712-person-nn-bb-6.206189155578613-0.38256531953811646-121.8087158203125-127.9028549194336,0,4.479986667633057
pins_Zac-Efron,Zac-Efron63_1754-,Zac-Efron63_1754-person-nn-bb-0.0-0.45659780502319336-209.0-225.0,1,4.426530599594116
pins_Zac-Efron,Zac-Efron217_1701-,Zac-Efron217_1701-person-nn-bb-0.0-0.0-209.0-220.8367462158203,1,4.484457731246948
pins_Zac-Efron,Zac-Efron15_1642-,Zac-Efron15_1642-person-nn-bb-1.3710660934448242-0.0-143.92205810546875-152.8042755126953,1,4.387510299682617
pins_Zac-Efron,Zac-Efron178_1667-,Zac-Efron178_1667-person-nn-bb-16.632543563842773-0.19284820556640625-174.0-184.0,0,5.213597536087036
pins_Zac-Efron,Zac-Efron38_1735-,Zac-Efron38_1735-person-nn-bb-0.0-0.0-251.0-265.65386962890625,1,4.625619649887085
pins_Zac-Efron,Zac-Efron242_1718-,Zac-Efron242_1718-person-nn-bb-0.08005166053771973-0.0-146.0-155.0,0,4.650686740875244
pins_Zac-Efron,Zac-Efron135_1630-,Zac-Efron135_1630-person-nn-bb-0.0-0.0-144.10516357421875-153.97256469726562,1,4.366286993026733
pins_Zac-Efron,Zac-Efron140_1635-,Zac-Efron140_1635-person-nn-bb-0.0-0.3033153712749481-83.0716323852539-107.60893249511719,0,0.0
pins_Zac-Efron,Zac-Efron120_1621-,Zac-Efron120_1621-person-nn-bb-0.0-0.14229784905910492-89.45184326171875-108.0,0,4.997860908508301
pins_Zac-Efron,Zac-Efron177_1666-,Zac-Efron177_1666-person-nn-bb-0.5337982177734375-0.8880844116210938-300.3634033203125-315.70330810546875,0,4.4562389850616455
pins_Zac-Efron,Zac-Efron106_1606-,Zac-Efron106_1606-person-nn-bb-13.806127548217773-0.0-115.5483627319336-127.03358459472656,0,5.030338525772095
pins_Zac-Efron,Zac-Efron119_1618-,Zac-Efron119_1618-person-nn-bb-0.0-0.27147674560546875-287.1717529296875-319.40045166015625,0,4.65111231803894
pins_Zac-Efron,Zac-Efron138_1632-,Zac-Efron138_1632-person-nn-bb-3.7053639888763428-0.09425383061170578-251.0-263.0716247558594,0,4.3445353507995605
pins_Zac-Efron,Zac-Efron98_1786-,Zac-Efron98_1786-person-nn-bb-0.0-0.0-364.4436950683594-380.0,0,4.247163534164429
pins_Zac-Efron,Zac-Efron8_1767-,Zac-Efron8_1767-person-nn-bb-0.0-0.1195562407374382-172.28631591796875-182.7565460205078,1,4.327021837234497
pins_Zac-Efron,Zac-Efron106_1604-,Zac-Efron106_1604-person-nn-bb-21.805116653442383-0.0-119.78971099853516-127.65065002441406,0,5.451228141784668
pins_Zac-Efron,Zac-Efron81_1769-,Zac-Efron81_1769-person-nn-bb-0.76092529296875-0.26221466064453125-298.0553283691406-318.53515625,0,4.914889097213745
pins_Zac-Efron,Zac-Efron243_1719-,Zac-Efron243_1719-person-nn-bb-13.7824125289917-0.0018829107284545898-209.0-223.86016845703125,1,5.1777472496032715
pins_Zac-Efron,Zac-Efron103_1601-,Zac-Efron103_1601-person-nn-bb-0.0-0.24828819930553436-160.59353637695312-220.23635864257812,0,5.962008476257324
pins_Zac-Efron,Zac-Efron33_1732-,Zac-Efron33_1732-person-nn-bb-19.915912628173828-0.07985038310289383-142.51670837402344-151.12120056152344,0,5.356356859207153
pins_Zac-Efron,Zac-Efron72_1762-,Zac-Efron72_1762-person-nn-bb-0.30507147312164307-0.01726999320089817-78.50132751464844-106.8553695678711,0,5.777576208114624
pins_Zac-Efron,Zac-Efron17_1660-,Zac-Efron17_1660-person-nn-bb-4.481391906738281-0.4462176561355591-208.31900024414062-225.0,0,4.648024797439575
pins_Zac-Efron,Zac-Efron18_1669-,Zac-Efron18_1669-person-nn-bb-3.4091033935546875-0.0-302.0-318.324951171875,1,4.373666048049927
pins_Zac-Efron,Zac-Efron199_1680-,Zac-Efron199_1680-person-nn-bb-11.199447631835938-0.0-98.36967468261719-108.0,0,5.083454132080078
pins_Zac-Efron,Zac-Efron162_1654-,Zac-Efron162_1654-person-nn-bb-0.0-0.0-173.8376922607422-183.5825958251953,1,4.332994699478149
pins_Zac-Efron,Zac-Efron13_1625-,Zac-Efron13_1625-person-nn-bb-0.0-0.29249876737594604-361.94415283203125-386.3923645019531,0,4.491995334625244
pins_Zac-Efron,Zac-Efron36_1734-,Zac-Efron36_1734-person-nn-bb-16.06195640563965-3.982220411300659-93.69202423095703-107.78359985351562,0,5.530208110809326
pins_Zac-Efron,Zac-Efron249_1723-,Zac-Efron249_1723-person-nn-bb-0.0-0.5483153462409973-417.0-463.0,0,4.580842733383179
pins_Zac-Efron,Zac-Efron96_1784-,Zac-Efron96_1784-person-nn-bb-0.0-0.20455169677734375-102.0-107.57952880859375,0,4.621392250061035
pins_Zac-Efron,Zac-Efron237_1714-,Zac-Efron237_1714-person-nn-bb-0.0-0.08137264847755432-174.25225830078125-184.0,0,4.493351936340332
pins_Zac-Efron,Zac-Efron88_1776-,Zac-Efron88_1776-person-nn-bb-8.831762313842773-0.0626220703125-98.73025512695312-108.0,0,4.895102500915527
pins_Zac-Efron,Zac-Efron134_1629-,Zac-Efron134_1629-person-nn-bb-15.033777236938477-0.006906867027282715-145.65406799316406-154.70657348632812,0,4.836536884307861
pins_Zac-Efron,Zac-Efron174_1664-,Zac-Efron174_1664-person-nn-bb-0.0-0.02514038048684597-111.58101654052734-126.66154479980469,0,4.660964727401733
pins_Zac-Efron,Zac-Efron109_1611-,Zac-Efron109_1611-person-nn-bb-9.161674499511719-0.609015941619873-436.2115478515625-457.38330078125,1,4.372817516326904
pins_Zac-Efron,Zac-Efron165_1656-,Zac-Efron165_1656-person-nn-bb-0.0-0.0-208.9092559814453-220.5785369873047,0,4.517502307891846
pins_Zac-Efron,Zac-Efron104_1602-,Zac-Efron104_1602-person-nn-bb-3.5407965183258057-4.278924942016602-120.84795379638672-128.4564971923828,1,4.4166483879089355
pins_Zac-Efron,Zac-Efron84_1772-,Zac-Efron84_1772-person-nn-bb-0.0-0.267009437084198-145.0-148.55209350585938,0,4.197437047958374
pins_Zac-Efron,Zac-Efron195_1678-,Zac-Efron195_1678-person-nn-bb-0.0-0.2482197880744934-102.0-108.0,0,0.0
pins_Zac-Efron,Zac-Efron92_1780-,Zac-Efron92_1780-person-nn-bb-25.605215072631836-0.059897806495428085-101.43183135986328-106.97126007080078,0,5.895708322525024
pins_Zac-Efron,Zac-Efron94_1782-,Zac-Efron94_1782-person-nn-bb-0.0-0.0-211.44541931152344-220.9064178466797,0,0.0
pins_Zac-Efron,Zac-Efron154_1647-,Zac-Efron154_1647-person-nn-bb-0.0-0.0-143.5110321044922-152.75540161132812,0,4.324514150619507
pins_Zac-Efron,Zac-Efron90_1778-,Zac-Efron90_1778-person-nn-bb-0.14462299644947052-0.18888074159622192-80.04991149902344-107.72201538085938,0,5.9248740673065186
pins_Zac-Efron,Zac-Efron128_1624-,Zac-Efron128_1624-person-nn-bb-0.0-0.8521119356155396-144.12071228027344-153.91610717773438,0,4.524705410003662
pins_Zac-Efron,Zac-Efron73_1763-,Zac-Efron73_1763-person-nn-bb-0.0-0.0-322.93988037109375-383.14056396484375,0,5.188411712646484
pins_Zac-Efron,Zac-Efron82_1770-,Zac-Efron82_1770-person-nn-bb-0.0-0.0-250.45957946777344-265.4214782714844,1,4.526076078414917
pins_Zac-Efron,Zac-Efron44_1739-,Zac-Efron44_1739-person-nn-bb-0.0-0.0-364.52642822265625-385.70025634765625,0,4.283273935317993
pins_Zac-Efron,Zac-Efron161_1653-,Zac-Efron161_1653-person-nn-bb-0.0-0.10181751847267151-75.36128234863281-108.0,0,5.897814750671387
pins_Zac-Efron,Zac-Efron185_1673-,Zac-Efron185_1673-person-nn-bb-0.5748235583305359-0.1728934645652771-118.95206451416016-123.97056579589844,1,4.27801251411438
pins_Zac-Efron,Zac-Efron86_1774-,Zac-Efron86_1774-person-nn-bb-0.0-0.0-251.0-265.7998962402344,1,4.520336866378784
pins_Zac-Efron,Zac-Efron141_1636-,Zac-Efron141_1636-person-nn-bb-0.0-0.6039962768554688-299.31219482421875-317.4985656738281,0,4.313868045806885
pins_Zac-Efron,Zac-Efron204_1692-,Zac-Efron204_1692-person-nn-bb-5.253986835479736-0.06049518659710884-99.19418334960938-107.97318267822266,0,4.770637273788452
pins_Zac-Efron,Zac-Efron47_1742-,Zac-Efron47_1742-person-nn-bb-12.595413208007812-0.0-302.0-316.55279541015625,0,4.818789958953857
pins_Zac-Efron,Zac-Efron199_1684-,Zac-Efron199_1684-person-nn-bb-1.1250447034835815-0.6416393518447876-102.0-107.60472106933594,0,4.572736024856567
pins_Zac-Efron,Zac-Efron64_1755-,Zac-Efron64_1755-person-nn-bb-0.0-1.2035428285598755-144.07420349121094-153.01705932617188,0,4.536190032958984
pins_Zac-Efron,Zac-Efron28_1727-,Zac-Efron28_1727-person-nn-bb-16.509897232055664-0.0-100.31334686279297-108.0,0,5.609182596206665
pins_Zac-Efron,Zac-Efron153_1646-,Zac-Efron153_1646-person-nn-bb-5.756138801574707-0.08105742931365967-117.48426818847656-128.1052703857422,1,4.672429084777832
pins_Zac-Efron,Zac-Efron113_1614-,Zac-Efron113_1614-person-nn-bb-0.0-0.26866453886032104-110.3958511352539-127.62469482421875,0,4.730541467666626
pins_Zac-Efron,Zac-Efron234_1713-,Zac-Efron234_1713-person-nn-bb-0.0-0.0-253.2349853515625-263.23193359375,1,4.20832371711731
pins_Zac-Efron,Zac-Efron16_1652-,Zac-Efron16_1652-person-nn-bb-0.05556678771972656-0.0-102.0-107.71903991699219,0,4.395415782928467
pins_Zac-Efron,Zac-Efron156_1649-,Zac-Efron156_1649-person-nn-bb-0.0-0.16652527451515198-362.4420471191406-387.0,0,4.3807594776153564
pins_Zac-Efron,Zac-Efron246_1721-,Zac-Efron246_1721-person-nn-bb-0.17484436929225922-0.0-173.08621215820312-183.68955993652344,0,4.376815557479858
pins_Zac-Efron,Zac-Efron67_1758-,Zac-Efron67_1758-person-nn-bb-0.0-0.330758661031723-120.35820007324219-126.62138366699219,1,4.758153915405273
pins_Zac-Efron,Zac-Efron45_1740-,Zac-Efron45_1740-person-nn-bb-0.0-0.3717525899410248-189.0900421142578-218.19357299804688,0,5.21138858795166
pins_Zac-Efron,Zac-Efron108_1610-,Zac-Efron108_1610-person-nn-bb-1.6953935623168945-0.0-119.59355926513672-128.44491577148438,1,4.423882246017456
pins_Zac-Efron,Zac-Efron238_1715-,Zac-Efron238_1715-person-nn-bb-2.9761581420898438-0.06283986568450928-175.0-182.49285888671875,1,4.357955455780029
pins_Zac-Efron,Zac-Efron214_1699-,Zac-Efron214_1699-person-nn-bb-0.0-0.0762237086892128-216.39352416992188-264.1937255859375,0,5.006985902786255
pins_Zac-Efron,Zac-Efron91_1779-,Zac-Efron91_1779-person-nn-bb-0.15490208566188812-0.3493523597717285-100.39628601074219-105.87136840820312,1,4.396812677383423
pins_Zac-Efron,Zac-Efron130_1626-,Zac-Efron130_1626-person-nn-bb-8.467687606811523-0.21276549994945526-120.4832763671875-127.55812072753906,0,4.8332154750823975
pins_Zac-Efron,Zac-Efron151_1644-,Zac-Efron151_1644-person-nn-bb-0.0-0.0-250.90615844726562-266.0,1,4.319568634033203
pins_Zac-Efron,Zac-Efron34_1733-,Zac-Efron34_1733-person-nn-bb-10.237874031066895-0.12961645424365997-240.0746612548828-264.92230224609375,0,4.756557941436768
pins_Zac-Efron,Zac-Efron207_1693-,Zac-Efron207_1693-person-nn-bb-0.0-0.9638724327087402-145.0-139.33193969726562,1,4.568110704421997
pins_Zac-Efron,Zac-Efron189_1675-,Zac-Efron189_1675-person-nn-bb-0.0-0.33626455068588257-107.95763397216797-127.86488342285156,0,5.183185338973999
pins_Zac-Efron,Zac-Efron133_1628-,Zac-Efron133_1628-person-nn-bb-0.0-0.19596099853515625-294.3040771484375-319.4853515625,0,4.686537504196167
pins_Zac-Efron,Zac-Efron55_1748-,Zac-Efron55_1748-person-nn-bb-3.1416051387786865-0.0-162.35220336914062-184.90061950683594,0,4.998934984207153
pins_Zac-Efron,Zac-Efron10_1598-,Zac-Efron10_1598-person-nn-bb-0.0-0.0-365.0-381.5118103027344,1,4.370674133300781
pins_Zac-Efron,Zac-Efron148_1641-,Zac-Efron148_1641-person-nn-bb-0.013946533203125-0.4700469970703125-302.0-320.0,0,4.359195709228516
pins_Zac-Efron,Zac-Efron155_1648-,Zac-Efron155_1648-person-nn-bb-0.0-0.1490316390991211-126.91852569580078-154.04660034179688,0,5.400376558303833
pins_Zac-Efron,Zac-Efron192_1676-,Zac-Efron192_1676-person-nn-bb-0.0-1.0126571655273438-302.0-319.02935791015625,0,4.467402219772339
